"name","price"
"Alpha Protocol",0
"Astebreed",0
"Batman: Arkham Asylum",0
"Batman: Arkham City",0
"Batman: Arkham Origins",0
"Bionic Commando",0
"BioShock Remastered",0
"Borderlands",0
"Brothers - A Tale of Two Sons",0
"Brutal Legend",0
"Coffin Dodgers",0
"Cradle",0
"Deus Ex: Human Revolution",0
"Gas Guzzlers Extreme",0
"Giana Sisters: Twisted Dreams",0
"Hitman: Absolution",0
"How to Survive",0
"Jotun",0
"Just Cause 2",0
"LEGO Batman",0
"LEGO Batman 2 DC Super Heroes",0
"LEGO Harry Potter: Years 1-4",0
"LEGO Harry Potter: Years 5-7",0
"LEGO Movie: The Videogame",0
"Marlow Briggs and the Mask of Death",0
"Marvel Heroes 2016",0
"Mini Ninjas",0
"MotoGP14",0
"Orcs Must Die!",0
"Paragon",0
"Pumped BMX",0
"P·O·L·L·E·N",0
"Saints Row IV",0
"Sleeping Dogs",0
"Sniper Elite V2",0
"So Many Me",0
"Sonic & Allstars Racing Transformed",0
"Sonic CD",0
"Sonic the Hedgehog 4 - Episode I",0
"Sonic the Hedgehog 4 - Episode II",0
"Spec Ops: The Line",0
"Stacking",0
"Stealth Bastard Deluxe",0
"Street Fighter X Tekken",0
"The Bureau: XCOM Declassified",0
"The Vanishing of Ethan Carter Redux",0
"The Witcher 2: Assassins Of Kings",0
"Thief",0
"Tomb Raider",0
"Tomb Raider: Anniversary",0
"Tomb Raider: Legend",0
"Trine Enchanted Edition",0
"Ultra Street Fighter IV",0
"Warhammer 40,000: Space Marine",0
"Ys I & II Chronicles+",0
"NOBUNAGA'S AMBITION: Sphere of Influence",-1
"ABZU",-1
"Alekhine’s Gun",-1
"Aragami",-1
"Batman: Arkham Knight",-1
"BioShock 2 Remastered",-1
"Bombshell",-1
"Borderlands 2: Game of the Year",-1
"Brut@l",-1
"Day of the Tentacle Remastered",-1
"DEAD OR ALIVE 5 Last Round",-1
"Deadlight: Director’s Cut",-1
"Diluvion",-1
"F1 2015",-1
"Grim Fandango Remastered",-1
"Hard Reset: Redux",-1
"Homefront: The Revolution",-1
"Knee Deep - Season Ticket",-1
"Kona",-1
"Layers of Fear",-1
"LEGO Batman 3: Beyond Gotham",-1
"LEGO Hobbit",-1
"LEGO Jurassic World",-1
"LEGO Marvel Super Heroes",-1
"LEGO MARVEL's Avengers",-1
"LEGO Star Wars: The Force Awakens",-1
"LEGO The Lord of the Rings",-1
"Mad Max",-1
"Massive Chalice",-1
"Metro 2033 Redux",-1
"Metro Last Light Redux",-1
"MotoGP15",-1
"No Man's Sky",-1
"Oceanhorn: Monster of Uncharted Seas",-1
"Overcooked",-1
"Resident Evil: Revelations 2",-1
"Risen 3 - Titan Lords",-1
"Sacred 3",-1
"Saints Row: Gat out of Hell",-1
"Shadow Warrior 2",-1
"Shadwen",-1
"Snake Pass",-1
"SOMA",-1
"Stories: The Path of Destinies",-1
"Sublevel Zero",-1
"Submerged",-1
"Syndrome",-1
"The Assembly",-1
"The Descendant Full Season",-1
"The Flame in the Flood",-1
"The Guest",-1
"The Park",-1
"The Solus Project",-1
"The Surge",-1
"The Witcher 3: Wild Hunt",-1
"The Witcher 3: Wild Hunt Game of the Year Edition",-1
"The Wolf Among Us",-1
"Torment: Tides of Numenera",-1
"Trine 3: The Artifacts of Power",-1
"Virginia",-1
"Worms WMD",-1
"Yooka-Laylee",-1

