"name","price"
"Massive Chalice",19.99
"Bombshell",31.49
"Grim Fandango Remastered",14.99
"Submerged",19.99
"Nobunaga's Ambition: Sphere of Influence",59.99
"LEGO Marvel Super Heroes",19.99
"LEGO The Lord of the Rings",19.99
"LEGO The Hobbit",19.99
"Layers of Fear",12.99
"Saints Row IV",14.99
"Saints Row: Gat out of Hell",14.99
"Oceanhorn: Monster of Uncharted Seas",14.99
"The Park",12.99
"The Witcher 3: Wild Hunt",59.99
"Metro: 2033 Redux",19.99
"MotoGP 15",39.99
"Resident Evil: Revelations 2",39.99
"Sublevel Zero",14.99
"Trine 3: The Artifacts of Power",21.99
"How to Survive",0
"Operation Flashpoint: Dragon Rising",0
"Marlow Briggs and the Mask of Death",0
"Pumped BMX +",0
"Stealth Bastard Deluxe",0
"The Book of Unwritten Tales 2",0
"The Vanishing of Ethan Carter Redux",0
"Sniper Elite V2",0
"Killer Is Dead: Nightmare Edition",0
"Gas Guzzlers Extreme",0
"GRID Autosport",0
"Orcs Must Die!",0
"Toybox Turbos",0
"Guilty Gear XX Accent Core Plus R",0
"MotoGP 14",0
"Dungeons & Dragons: Chronicles of Mystara",0
"BlazBlue: Calamity Trigger",0
"The Raven: Legacy of a Master Thief",0
"The Walking Dead: A Telltale Games Series",0
"Homefront",0
"Dirt 3: Complete Edition",0
"Batman: Arkham Origins",0
"Ultra Street Fighter IV",0
"Brothers: A Tale of Two Sons",0
"The Witcher 2: Assassins of Kings",0
"Astebreed",0
"Batman: Arkham Asylum",0
"Batman: Arkham City",0
"Bionic Commando (2009)",0
"Brutal Legend",0
"Darksiders",0
"Darksiders II",0
"Devil May Cry 4",0
"Giana Sisters: Twisted Dreams",0
"La-Mulana",0
"LEGO Batman: The Videogame",0
"LEGO Batman 2: DC Super Heroes",0
"LEGO Harry Potter: Years 1-4",0
"LEGO Harry Potter: Years 5-7",0
"The LEGO Movie Videogame",0
"MX vs. ATV Reflex",0
"Strider",0
"Overlord II",0
"Red Faction: Armageddon",0
"Risen 2: Dark Waters",0
"Sacred Citadel",0
"Stacking",0
"Street Fighter X Tekken",0
"The Vanishing of Ethan Carter",0

