title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Rise of the Guardians;;;11;11;PlayStation 3
Ricochet HD;8.5;;;8.5;PlayStation 3
Pure Chess;;8;;8;PlayStation 3
Piyotama;6;;;6;PlayStation 3
Judge Dee: The City God Case;4;;;4;PlayStation 3
Hunter's Trophy 2 - America;;10;;10; PlayStation 3
Pumped BMX +;6.5;;;6.5;PC
Phoenix Wright: Ace Attorney - Dual Destinies;26;34;35;29;3DO
Gex;5;6;7.5;5.5;3DO
Primal Rage;0.8333333333333334;1;1.5;0.9666666666666667;3DO
The Secret of Monkey Island;6.5;6.5;7.5;6.5;Amiga
Monkey Island 2: LeChuck's Revenge;7;7;7.5;7;Amiga
Golden Axe;0.7833333333333333;0.9833333333333333;1.5;0.8166666666666667;Amiga
Another World;2;2.5;2.5;2.5;Amiga
Beneath a Steel Sky;6;7;7.5;6;Amiga
Indiana Jones and the Fate of Atlantis;8;8;9;8;Amiga
Indiana Jones and the Last Crusade: The Graphic Adventure;5.5;6;5.5;6;Amiga
Maniac Mansion;2;2;6.5;3;Amiga
Zak McKracken and the Alien Mindbenders;4;;50;27;Amiga
Double Dragon II: The Revenge;1;;2;1.5;Amiga
Final Fight;1.5;0.8333333333333334;1;1.5;Amiga
Flashback;7.5;;6.5;7;Amiga
Syndicate;12;;21;13;Amiga
Lemmings;20.5;24.5;13.5;21;Amiga
Arkanoid;2;;;2;Amiga
Dungeon Master: Chaos Strikes Back - Expansion Set #1;;10;;10;Amiga
Eye of the Beholder II: The Legend of Darkmoon;12;;21;18;Amiga
Moonstone: A Hard Days Knight;1.5;;;1.5;Amiga
DuckTales: The Quest for Gold;1.5;;;1.5;Amiga
Bubble Bobble;3;2;;3;Amiga
California Games;8;2;2;4.5;Amiga
Chuck Rock;2;;0.75;1.5;Amiga
Desert Strike: Return to the Gulf;6;7;6.5;6.5;Amiga
Eye of the Beholder;10.5;12.5;21;13;Amiga
The NewZealand Story;2;;2;2;Amiga
Nuclear War;;;;;Amiga
Alien Breed;;;;;Amiga
Bionic Commando (1988);2.5;3;1.5;2.5;Amiga
Cannon Fodder;3.5;;18;9.5;Amiga
D/Generation;;;6;6;Amiga
Dungeon Master;30;;16;20;Amiga
Dynamite Dux;0.75;;0.5;0.5833333333333334;Amiga
Marble Madness;0.3333333333333333;;3.5;0.8833333333333333;Amiga
Micro Machines;2;8.5;9.5;8;Amiga
North & South;2;;;2;Amiga
Oh No! More Lemmings;;;;;Amiga
Pinball Dreams;;;;;Amiga
Push-Over;;;;;Amiga
Rainbow Islands: The Story of Bubble Bobble 2;7.5;;;7.5;Amiga
RodLand;0.6666666666666666;;;0.6666666666666666;Amiga
Shadow of the Beast;0.35;;2.5;1.5;Amiga
Speedball 2: Brutal Deluxe;2.5;10;13.5;9.5;Amiga
Pac-Mania;1.5;;;1.5;Amiga
Black Tiger;0.85;;0.6166666666666667;0.7833333333333333;Amiga
Turrican;1.5;;;1.5;Amiga
Champions of Krynn;18;;;18;Amiga
Nebulus;0.3;;;0.3;Amiga
Turrican II: The Final Fight;;;;;Amiga
International Karate +;;;;;Amiga
Batman: The Movie;0.6833333333333333;;1;0.7666666666666667;Amiga
Apidya;0.75;;;0.75;Amiga
Agony;1.5;;;1.5;Amiga
Back to the Future Part III;0.35;;0.75;0.5166666666666667;Amiga
Defender of the Crown;3.5;;;3.5;Amiga
It Came From the Desert;2.5;;;2.5;Amiga
Xenon 2 Megablast;0.9333333333333333;;1;0.9666666666666667;Amiga
Rick Dangerous 2;2;;;2;Amiga
