user_score;publisher;title;genre;score;release;platform
4.3;;! That Bastard Is Trying To Steal Our Gold !;;;May 11, 2014;pc
;;!nsane;;;Mar 30, 2016;pc
;;"""Glow Ball"" - The billiard puzzle game";;;Jul 20, 2015;pc
;;"""You have a choice. Make it.""";;;Jul 23, 2014;pc
;;#KILLALLZOMBIES;;;Aug 10, 2016;pc
;;#monstercakes;;;May 5, 2017;pc
;Bandello;#SelfieTennis;Sports,Tennis,Individual;;Apr 1, 2016;pc
;;$1 Ride;;;Jul 28, 2016;pc
;;>observer_;;;Aug 15, 2017;pc
3.0;;'dillos;;;Oct 22, 2012;pc
;Skobbejak Games;'n Verlore Verstand;First-Person,Adventure,3D;;Feb 1, 2016;pc
;;.EXE;;;Jun 16, 2016;pc
4.4;;//N.P.P.D. RUSH//- The milk of Ultraviolet;;;Feb 13, 2014;pc
;;//SNOWFLAKE TATTOO//;;;Mar 27, 2015;pc
;;0 Day;;;Nov 15, 2016;pc
2.6;Activision;007 Legends;Action,Shooter,First-Person,Modern,Shooter,Modern,Arcade;26;Nov 1, 2012;pc
6.0;Electronic Arts;007: NightFire;Action,Shooter,First-Person,Modern,Shooter,Modern,Arcade;59;Nov 28, 2002;pc
6.3;Activision;007: Quantum of Solace;Action,General,Shooter,First-Person,Modern,Shooter,Modern,Arcade;70;Nov 4, 2008;pc
7.3;;0RBITALIS;;73;May 28, 2015;pc
;;1 Moment Of Time: Silentville;;;Jul 21, 2016;pc
;;1 Vs 1;;;May 1, 2017;pc
;THQ;1 vs 100 / Deal or No Deal 2 Pack;Miscellaneous,General,General,Compilation;;Jun 29, 2012;pc
;;1,000 Heads Among the Trees;;;Dec 11, 2015;pc
;;1-2-Swift;;;Jan 29, 2017;pc
2.6;;1... 2... 3... KICK IT! Drop That Beat Like an Ugly Baby;;;Apr 1, 2011;pc
;;10 Days to Save the World: The Adventures of Diana Salinger;;;Sep 28, 2009;pc
;;10 Days Under the Sea;;;Jun 29, 2008;pc
;;10 Min Space Strategy;;;Jul 20, 2011;pc
;;10 Minute Barbarian;;;Jan 27, 2016;pc
;;10 Minute Tower;;;Jul 26, 2016;pc
7.9;;10 Second Ninja;;72;Mar 5, 2014;pc
4.8;;10 Second Ninja X;;;Jul 19, 2016;pc
;;10 Talismans;;;Sep 7, 2006;pc
;;10 Years After;;;Nov 2, 2014;pc
7.3;;10,000,000;;67;Jan 15, 2013;pc
;;100% Hidden Objects;;;Apr 14, 2013;pc
7.5;;100% Orange Juice;;;May 16, 2014;pc
;;100,000 Games;;;Dec 7, 2009;pc
7.4;;1000 Amps;;;Feb 22, 2012;pc
;;1001 Jigsaw Earth Chronicles;;;May 20, 2014;pc
;;1001 Jigsaw Earth Chronicles 2;;;Aug 21, 2014;pc
;;1001 Nights: The Adventures of Sindbad;;;Jan 27, 2010;pc
6.7;;1001 Spikes;;80;Jun 3, 2014;pc
;;100ft Robot Golf;;;Mar 16, 2017;pc
;;100nya;;;Nov 12, 2016;pc
;Empire Interactive;101 Airborne: The Airborne Invasion of Normandy;Strategy,General,General;;Sep 30, 1998;pc
;;101 Bally Slots;;;Sep 1, 2004;pc
;;101 Bunny Pets;;;Feb 29, 2008;pc
;;101 Mystery Games;;;Jun 3, 2014;pc
;;101 Pony Pets;;;Jun 13, 2008;pc
;;101 Ways to Die;;;Mar 17, 2016;pc
;;10Six;;;Feb 27, 2000;pc
;;1166;;;Apr 3, 2017;pc
7.0;;12 is Better Than 6;;74;Nov 20, 2015;pc
7.7;;12 Labours of Hercules;;;Oct 30, 2013;pc
6.8;;12 Labours of Hercules II: The Cretan Bull;;;Jul 17, 2014;pc
4.7;;12 Labours of Hercules III: Girl Power;;;Dec 31, 2014;pc
;;12 Labours of Hercules IV: Mother Nature;;;Dec 25, 2015;pc
;;12 Labours of Hercules V: Kids of Hellas;;;Jun 17, 2016;pc
;;12 Labours of Hercules VI: Race for Olympus;;;Dec 21, 2016;pc
;Take-Two Interactive;12 O'Clock High: Bombing the Reich;Simulation,Flight,WWII,Combat;;Nov 30, 1999;pc
;;12 orbits;;;Oct 21, 2016;pc
;;123 Slaughter Me Street;;;Sep 25, 2015;pc
;;123 Slaughter Me Street 2;;;Oct 31, 2016;pc
7.3;;140;;80;Oct 16, 2013;pc
4.8;;15 Days;;63;Apr 1, 2015;pc
;;15 Defense;;;Apr 1, 2017;pc
;;15 Defense. Underwater Battle;;;Jan 10, 2015;pc
7.6;Electronic Arts;1503 A.D. - The New World;Strategy,Real-Time,Historic,General,Historic;74;Mar 23, 2003;pc
;;16 Bit Arena;;;Mar 24, 2015;pc
